Slovo;Rod;Slovo2;Rod2
fľašu;ženský;fľašu;ženský
alebo;;alebo;
nie;;nie;
Vylial;mužský neživotný;Vylial;mužský životný
som;;som;
zvyšnú;ženský;zvyšnú;ženský
vodku;ženský;vodku;ženský
do;;do;
pohára;mužský neživotný;pohára;mužský neživotný
Pohľadal;mužský neživotný;Pohľadal;mužský životný
som;;som;
letenku;ženský;letenku;ženský
S;;S;
letenkou;ženský;letenkou;ženský
v;;v;
ruke;ženský;ruke;ženský
som;;som;
vyšiel;mužský neživotný;vyšiel;mužský životný
z;stredný;z;
izby;ženský;izby;ženský
a;stredný;a;
zamieril;mužský neživotný;zamieril;mužský životný
k;stredný;k;
stolu;mužský neživotný;stolu;mužský neživotný
kde;;kde;
sedeli;ženský;sedeli;ženský
recepčné;ženský;recepčné;ženský
z;stredný;z;
môjho;mužský neživotný;môjho;stredný
poschodia;stredný;poschodia;stredný
A;;A;
poprosím;;poprosím;
ju;ženský;ju;ženský
aby;;aby;
mi;;mi;všeobecný
večer;mužský neživotný;večer;
robila;ženský;robila;ženský
spoločnosť;ženský;spoločnosť;ženský
Recepčné;ženský;Recepčné;ženský
sa;;sa;
podujali;ženský;podujali;ženský
objednať;;objednať;
taxík;mužský neživotný;taxík;mužský neživotný
a;stredný;a;
zobudiť;;zobudiť;
ma;;ma;všeobecný
kedy;;kedy;
uznám;;uznám;
za;;za;
vhodné;ženský;vhodné;stredný
Uznal;mužský neživotný;Uznal;mužský životný
som;;som;
za;;za;
vhodné;ženský;vhodné;stredný
požiadať;;požiadať;
ich;ženský;ich;ženský
aby;;aby;
ma;;ma;všeobecný
zobudili;ženský;zobudili;ženský
o;;o;
pol;ženský;pol;ženský
piatej;ženský;piatej;ženský
Večer;mužský neživotný;Večer;
ma;;ma;všeobecný
začala;ženský;začala;ženský
znepokojovať;;znepokojovať;
pohrebná;ženský;pohrebná;ženský
trúba;ženský;trúba;ženský
Stále;;Stále;
som;;som;
mal;;mal;mužský životný
pred;;pred;
sebou;;sebou;všeobecný
tvár;ženský;tvár;ženský
Pohrebná;ženský;Pohrebná;ženský
trúba;ženský;trúba;ženský
stále;;stále;
vyhrávala;ženský;vyhrávala;ženský
v;;v;
ktoromsi;mužský neživotný;ktoromsi;mužský neživotný
kúte;mužský neživotný;kúte;mužský neživotný
prázdneho;mužský neživotný;prázdneho;mužský neživotný
priestoru;mužský neživotný;priestoru;mužský neživotný
môjho;mužský neživotný;môjho;mužský neživotný
mozgu;mužský neživotný;mozgu;mužský neživotný
Záchranu;ženský;Záchranu;ženský
som;;som;
našiel;mužský neživotný;našiel;mužský životný
v;;v;
telefónnom;mužský neživotný;telefónnom;stredný
čísle;stredný;čísle;stredný
Na;;Na;
druhej;ženský;druhej;ženský
strane;ženský;strane;ženský
položili;ženský;položili;mužský životný
telefón;mužský neživotný;telefón;mužský neživotný
Položil;mužský neživotný;Položil;mužský životný
som;;som;
pohár;mužský neživotný;pohár;mužský neživotný
na;;na;
stôl;mužský neživotný;stôl;mužský neživotný
a;stredný;a;
išiel;mužský neživotný;išiel;mužský životný
som;;som;
otvoriť;;otvoriť;
Vo;;Vo;
dverách;ženský;dverách;ženský
sa;;sa;
objavila;ženský;objavila;ženský
plavovláska;ženský;plavovláska;ženský
pripomínajúca;ženský;pripomínajúca;ženský
plavovlasé;ženský;plavovlasé;stredný
dievčatá;stredný;dievčatá;stredný
z;stredný;z;
výťahu;mužský neživotný;výťahu;mužský neživotný
Zahľadela;ženský;Zahľadela;ženský
sa;;sa;
mi;;mi;všeobecný
do;;do;
očí;stredný;očí;stredný
a;stredný;a;
spýtala;ženský;spýtala;ženský
sa;;sa;
či;;či;
ju;ženský;ju;ženský
beriem;;beriem;
Slová;stredný;Slová;stredný
mi;;mi;všeobecný
uviazli;ženský;uviazli;stredný
v;;v;
hrdle;stredný;hrdle;stredný
Prikývla;ženský;Prikývla;ženský
a;stredný;a;
povedala;ženský;povedala;ženský
že;;že;
sa;;sa;
o;;o;
chvíľu;;chvíľu;ženský
vráti;;vráti;
Tentoraz;;Tentoraz;
sama;ženský;sama;ženský
Vybral;mužský neživotný;Vybral;mužský životný
som;;som;
peniaze;mužský neživotný;peniaze;mužský neživotný
a;stredný;a;
podal;mužský neživotný;podal;mužský životný
som;;som;
mu;mužský neživotný;mu;mužský životný
ich;ženský;ich;mužský neživotný
Stiahol;mužský neživotný;Stiahol;mužský životný
som;;som;
sa;;sa;
aby;;aby;
mohla;ženský;mohla;ženský
prejsť;;prejsť;
Išla;ženský;Išla;ženský
prvá;ženský;prvá;ženský
ja;stredný;ja;všeobecný
za;;za;
ňou;ženský;ňou;ženský
a;stredný;a;
ocitli;ženský;ocitli;všeobecný
sme;;sme;
sa;;sa;
uprostred;;uprostred;
izby;ženský;izby;ženský
Televízor;mužský neživotný;Televízor;mužský neživotný
bol;ženský;bol;mužský neživotný
stále;;stále;
nastavený;mužský neživotný;nastavený;mužský neživotný
na;;na;
pornografický;mužský neživotný;pornografický;mužský neživotný
kanál;mužský neživotný;kanál;mužský neživotný
Spýtala;ženský;Spýtala;ženský
sa;;sa;
ma;;ma;všeobecný
či;;či;
ho;;ho;mužský neživotný
môže;;môže;
vypnúť;;vypnúť;
Namiesto;;Namiesto;
odpovede;ženský;odpovede;ženský
som;;som;
ho;;ho;mužský neživotný
išiel;mužský neživotný;išiel;mužský životný
vypnúť;;vypnúť;
ja;stredný;ja;všeobecný
Zasmiala;ženský;Zasmiala;ženský
sa;;sa;
Mala;;Mala;ženský
na;;na;
sebe;;sebe;všeobecný
len;;len;
podprsenku;ženský;podprsenku;ženský
a;stredný;a;
nohavičky;ženský;nohavičky;ženský
Obidvoje;ženský;Obidvoje;stredný
čiernej;ženský;čiernej;ženský
farby;ženský;farby;ženský
Mýlil;mužský neživotný;Mýlil;mužský životný
som;;som;
sa;;sa;
Prejavila;ženský;Prejavila;ženský
ľútosť;ženský;ľútosť;ženský
Vtedy;;Vtedy;
som;;som;
jej;ženský;jej;ženský
ponúkol;mužský neživotný;ponúkol;mužský životný
vodku;ženský;vodku;ženský
Odmietla;ženský;Odmietla;ženský
povedala;ženský;povedala;ženský
že;;že;
alkohol;mužský neživotný;alkohol;mužský neživotný
Témy;ženský;Témy;ženský
na;;na;
rozhovor;mužský neživotný;rozhovor;mužský neživotný
sme;;sme;
už;;už;
vyčerpali;ženský;vyčerpali;všeobecný
Slečna;ženský;Slečna;ženský
sa;;sa;
znepokojila;ženský;znepokojila;ženský
Prisunula;ženský;Prisunula;ženský
sa;;sa;
ku;;ku;
mne;;mne;všeobecný
a;stredný;a;
spýtala;ženský;spýtala;ženský
sa;;sa;
či;;či;
som;;som;
v;;v;
poriadku;mužský neživotný;poriadku;mužský neživotný
Mám;;Mám;
to;stredný;to;stredný
tu;;tu;
vnútri;;vnútri;
povedal;mužský neživotný;povedal;mužský životný
som;;som;
jej;ženský;jej;ženský
Zdá;;Zdá;
sa;;sa;
že;;že;
mala;;mala;ženský
veľmi;;veľmi;
vyvinutý;mužský neživotný;vyvinutý;mužský neživotný
zmysel;mužský neživotný;zmysel;mužský neživotný
pre;;pre;
povinnosť;ženský;povinnosť;ženský
Bol;ženský;Bol;mužský životný
som;;som;
jej;ženský;jej;mužský životný
štvrtým;ženský;štvrtým;mužský životný
Tentoraz;;Tentoraz;
som;;som;
ju;ženský;ju;ženský
nechal;mužský neživotný;nechal;mužský životný
Dostala;ženský;Dostala;ženský
guráž;ženský;guráž;ženský
Zostal;mužský neživotný;Zostal;mužský životný
som;;som;
v;;v;
posteli;ženský;posteli;ženský
Napokon;;Napokon;
sa;;sa;
ozvalo;stredný;ozvalo;stredný
na;;na;
dvere;ženský;dvere;ženský
Keď;;Keď;
odišla;ženský;odišla;ženský
vstal;mužský neživotný;vstal;mužský životný
som;;som;
a;stredný;a;
zamkol;mužský neživotný;zamkol;mužský životný
dvere;ženský;dvere;ženský
znútra;;znútra;
Bozkávala;ženský;Bozkávala;ženský
ma;;ma;všeobecný
a;stredný;a;
dovolila;ženský;dovolila;ženský
mi;;mi;všeobecný
aby;;aby;
som;;som;
ju;ženský;ju;ženský
bozkával;mužský neživotný;bozkával;mužský životný
na;;na;
pery;ženský;pery;ženský
mi;;mi;všeobecný
pobozkať;;pobozkať;
ju;ženský;ju;ženský
na;;na;
pery;ženský;pery;ženský
Vtedy;;Vtedy;
som;;som;
uvidel;mužský neživotný;uvidel;mužský životný
že;;že;
nie;;nie;
som;;som;
sám;mužský neživotný;sám;mužský životný
Ale;;Ale;
ich;ženský;ich;mužský životný
vodca;mužský životný;vodca;mužský životný
ma;;ma;všeobecný
rázne;;rázne;
prerušil;mužský neživotný;prerušil;mužský životný
Sú;;Sú;
mojimi;mužský životný;mojimi;ženský
obeťami;ženský;obeťami;ženský
a;stredný;a;
prišli;ženský;prišli;mužský životný
sem;;sem;
z;stredný;z;
jediného;mužský neživotný;jediného;mužský neživotný
dôvodu;mužský neživotný;dôvodu;mužský neživotný
aby;;aby;
ma;;ma;všeobecný
súdili;ženský;súdili;mužský životný
Nenávidel;mužský neživotný;Nenávidel;mužský životný
ma;;ma;všeobecný
A;;A;
keď;;keď;
som;;som;
ho;;ho;mužský životný
počúval;mužský neživotný;počúval;mužský životný
pri;;pri;
akejsi;ženský;akejsi;ženský
zmene;ženský;zmene;ženský
v;;v;
zafarbení;stredný;zafarbení;stredný
jeho;ženský;jeho;mužský neživotný
hlasu;mužský neživotný;hlasu;mužský neživotný
sa;;sa;
mi;;mi;všeobecný
na;;na;
chvíľu;;chvíľu;ženský
zazdalo;stredný;zazdalo;stredný
že;;že;
ho;;ho;mužský životný
poznám;;poznám;
Odlož;;Odlož;
masku;ženský;masku;ženský
povedal;mužský neživotný;povedal;mužský životný
som;;som;
mu;mužský neživotný;mu;mužský životný
Zbytočne;;Zbytočne;
sa;;sa;
skrývaš;;skrývaš;
Musíte;;Musíte;
byť;;byť;
tolerantní;mužský životný;tolerantní;mužský životný
musíte;;musíte;
pochopiť;;pochopiť;
že;;že;
som;;som;
iné;ženský;iné;stredný
východisko;stredný;východisko;stredný
Sám;mužský neživotný;Sám;mužský životný
sa;;sa;
dovtíp;;dovtíp;
kto;mužský životný;kto;mužský životný
som;;som;
Muži;mužský životný;Muži;mužský životný
zo;;zo;
sprievodu;mužský neživotný;sprievodu;mužský neživotný
to;stredný;to;stredný
jednohlasne;;jednohlasne;
odobrili;ženský;odobrili;mužský životný
Podarilo;stredný;Podarilo;stredný
sa;;sa;
mi;;mi;všeobecný
vybehnúť;;vybehnúť;
na;;na;
chodbu;ženský;chodbu;ženský
ale;;ale;
tam;;tam;
sa;;sa;
mi;;mi;všeobecný
podlomili;ženský;podlomili;ženský
nohy;ženský;nohy;ženský
Zachvátila;ženský;Zachvátila;ženský
ma;;ma;všeobecný
panika;ženský;panika;ženský
som;;som;
utekať;;utekať;
Vtedy;;Vtedy;
som;;som;
začul;mužský neživotný;začul;mužský životný
zvonenie;stredný;zvonenie;stredný
S;;S;
hrôzou;ženský;hrôzou;ženský
som;;som;
otvoril;mužský neživotný;otvoril;mužský životný
oči;stredný;oči;stredný
zvonil;mužský neživotný;zvonil;mužský neživotný
telefón;mužský neživotný;telefón;mužský neživotný
Chvíľu;;Chvíľu;
som;;som;
ležal;mužský neživotný;ležal;mužský životný
so;;so;
dychom;mužský neživotný;dychom;mužský neživotný
Kufor;mužský neživotný;Kufor;mužský neživotný
som;;som;
Všetko;stredný;Všetko;stredný
som;;som;
doň;mužský neživotný;doň;mužský neživotný
nahádzal;mužský neživotný;nahádzal;mužský životný
bez;;bez;
ladu;mužský neživotný;ladu;mužský neživotný
a;stredný;a;
skladu;mužský neživotný;skladu;mužský neživotný
Strčil;mužský neživotný;Strčil;mužský životný
som;;som;
tam;;tam;
aj;;aj;
fľašu;ženský;fľašu;ženský
so;;so;
zvyškom;mužský neživotný;zvyškom;mužský neživotný
vodky;ženský;vodky;ženský
Spal;mužský neživotný;Spal;mužský životný
som;;som;
v;;v;
taxíku;mužský neživotný;taxíku;mužský neživotný
cestou;;cestou;ženský
z;stredný;z;
hotela;mužský neživotný;hotela;mužský neživotný
na;;na;
letisko;stredný;letisko;stredný
A;;A;
keď;;keď;
som;;som;
nakoniec;;nakoniec;
prišiel;mužský neživotný;prišiel;mužský životný
domov;mužský neživotný;domov;
hneď;ženský;hneď;
som;;som;
upadol;mužský neživotný;upadol;mužský životný
do;;do;
mŕtvolného;mužský neživotný;mŕtvolného;mužský neživotný
spánku;mužský neživotný;spánku;mužský neživotný
Zobudil;mužský neživotný;Zobudil;mužský životný
som;;som;
sa;;sa;
o;;o;
dvanásť;stredný;dvanásť;stredný
hodín;ženský;hodín;ženský
Bolo;stredný;Bolo;stredný
horúco;;horúco;
a;stredný;a;
ja;stredný;ja;všeobecný
som;;som;
bol;ženský;bol;mužský životný
veľmi;;veľmi;
hladný;mužský neživotný;hladný;mužský životný
Niekto;mužský životný;Niekto;mužský životný
zo;;zo;
susedov;mužský životný;susedov;mužský životný
si;;si;
mohol;mužský neživotný;mohol;mužský životný
všimnúť;;všimnúť;
že;;že;
som;;som;
bol;ženský;bol;mužský životný
preč;;preč;
mohol;mužský neživotný;mohol;mužský životný
by;;by;
sa;;sa;
ma;;ma;všeobecný
zvedavo;;zvedavo;
vypytovať;;vypytovať;
kde;;kde;
som;;som;
bol;ženský;bol;mužský životný
a;stredný;a;
to;stredný;to;stredný
by;;by;
stačilo;stredný;stačilo;stredný
aby;;aby;
sa;;sa;
som;;som;
sa;;sa;
rozčúlil;mužský neživotný;rozčúlil;mužský životný
Nikto;mužský životný;Nikto;mužský životný
si;;si;
že;;že;
som;;som;
bol;ženský;bol;mužský životný
preč;;preč;
Pochopil;mužský neživotný;Pochopil;mužský životný
som;;som;
to;stredný;to;stredný
keď;;keď;
som;;som;
prišiel;mužský neživotný;prišiel;mužský životný
na;;na;
koniec;mužský neživotný;koniec;mužský neživotný
schodišťa;stredný;schodišťa;stredný
a;stredný;a;
stretol;mužský neživotný;stretol;mužský životný
som;;som;
suseda;ženský;suseda;mužský životný
z;stredný;z;
prízemia;stredný;prízemia;stredný
Nič;stredný;Nič;stredný
sa;;sa;
ma;;ma;všeobecný
A;;A;
odišiel;mužský neživotný;odišiel;mužský životný
s;stredný;s;
pod;;pod;
pazuchou;ženský;pazuchou;ženský
Kúpil;mužský neživotný;Kúpil;mužský životný
som;;som;
čo;stredný;čo;stredný
bolo;stredný;bolo;stredný
treba;;treba;
a;stredný;a;
odišiel;mužský neživotný;odišiel;mužský životný
som;;som;
Vôbec;;Vôbec;
som;;som;
tomu;stredný;tomu;stredný
čo;stredný;čo;stredný
sa;;sa;
hovorí;;hovorí;
Musí;;Musí;
to;stredný;to;stredný
byť;;byť;
nejaký;mužský neživotný;nejaký;mužský neživotný
omyl;mužský neživotný;omyl;mužský neživotný
V;;V;
každom;mužský neživotný;každom;mužský neživotný
prípade;mužský neživotný;prípade;mužský neživotný
musím;;musím;
otvoriť;;otvoriť;
oči;stredný;oči;stredný
a;stredný;a;
veriť;;veriť;
legendám;ženský;legendám;ženský
Celý;mužský neživotný;Celý;mužský neživotný
týždeň;mužský neživotný;týždeň;mužský neživotný
som;;som;
bol;ženský;bol;mužský životný
náchylný;mužský neživotný;náchylný;mužský životný
uveriť;;uveriť;
že;;že;
to;stredný;to;stredný
všetko;stredný;všetko;stredný
bol;ženský;bol;mužský neživotný
iba;;iba;
sen;mužský neživotný;sen;mužský neživotný
Mohla;ženský;Mohla;ženský
by;;by;
sa;;sa;
ma;;ma;všeobecný
pýtať;;pýtať;
na;;na;
svadbu;ženský;svadbu;ženský
a;stredný;a;
ja;stredný;ja;všeobecný
by;;by;
som;;som;
čo;stredný;čo;stredný
jej;ženský;jej;ženský
povedať;;povedať;
Vybral;mužský neživotný;Vybral;mužský životný
som;;som;
z;stredný;z;
neho;mužský neživotný;neho;mužský neživotný
oblek;mužský neživotný;oblek;mužský neživotný
Vybral;mužský neživotný;Vybral;mužský životný
som;;som;
aj;;aj;
tričká;stredný;tričká;stredný
Bola;ženský;Bola;ženský
medzi;;medzi;
nimi;mužský neživotný;nimi;stredný
fľaša;ženský;fľaša;ženský
vodky;ženský;vodky;ženský
Dlho;;Dlho;
som;;som;
sedel;mužský neživotný;sedel;mužský životný
pred;;pred;
tým;;tým;mužský neživotný
plným;ženský;plným;mužský neživotný
pohárom;mužský neživotný;pohárom;mužský neživotný
A;;A;
začal;mužský neživotný;začal;mužský životný
som;;som;
piť;;piť;
Túžil;mužský neživotný;Túžil;mužský životný
som;;som;
vypiť;;vypiť;
tú;;tú;ženský
vodku;ženský;vodku;ženský
čo;stredný;čo;
najrýchlejšie;;najrýchlejšie;
Opustil;mužský neživotný;Opustil;mužský životný
som;;som;
Čo;stredný;Čo;stredný
som;;som;
ja;stredný;ja;všeobecný
urobili;ženský;urobili;mužský životný
medzitým;;medzitým;
iní;mužský životný;iní;mužský životný
Dozvedel;mužský neživotný;Dozvedel;mužský životný
som;;som;
sa;;sa;
o;;o;
tom;stredný;tom;stredný
na;;na;
druhý;mužský neživotný;druhý;mužský neživotný
deň;mužský neživotný;deň;mužský neživotný
z;stredný;z;
novín;ženský;novín;ženský
Moju;ženský;Moju;ženský
pozornosť;ženský;pozornosť;ženský
upútala;ženský;upútala;ženský
fotografia;ženský;fotografia;ženský
akejsi;ženský;akejsi;ženský
ženy;ženský;ženy;ženský
Prekvapujúco;;Prekvapujúco;
sa;;sa;
podobala;ženský;podobala;ženský
na;;na;
Vyšiel;mužský neživotný;Vyšiel;mužský životný
som;;som;
z;stredný;z;
obchodu;mužský neživotný;obchodu;mužský neživotný
Nad;;Nad;
fotografiou;ženský;fotografiou;ženský
bol;ženský;bol;mužský neživotný
titulok;mužský neživotný;titulok;mužský neživotný
Dvaja;mužský životný;Dvaja;mužský životný
v;;v;
putách;stredný;putách;stredný
ruského;mužský neživotný;ruského;mužský neživotný
Napriek;;Napriek;
všetkému;mužský neživotný;všetkému;stredný
úsiliu;stredný;úsiliu;stredný
sa;;sa;
príbuzným;mužský životný;príbuzným;mužský životný
Sergeja;mužský životný;Sergeja;mužský životný
zistiť;;zistiť;
u;stredný;u;
kompetentných;ženský;kompetentných;mužský neživotný
orgánov;mužský neživotný;orgánov;mužský neživotný
nijaké;ženský;nijaké;ženský
podrobnosti;ženský;podrobnosti;ženský
Ale;;Ale;
roh;mužský neživotný;roh;mužský neživotný
s;stredný;s;
názvom;mužský neživotný;názvom;mužský neživotný
novín;ženský;novín;ženský
odtrhnutý;mužský neživotný;odtrhnutý;mužský neživotný
A;;A;
poprosím;;poprosím;
ho;;ho;mužský životný
aby;;aby;
mi;;mi;všeobecný
poskytol;mužský neživotný;poskytol;mužský životný
nejakú;ženský;nejakú;ženský
správu;ženský;správu;ženský
o;;o;
to;stredný;to;stredný
dobrý;mužský neživotný;dobrý;mužský neživotný
nápad;mužský neživotný;nápad;mužský neživotný
Namiesto;;Namiesto;
toho;stredný;toho;stredný
som;;som;
zašiel;mužský neživotný;zašiel;mužský životný
k;stredný;k;
predavačovi;mužský životný;predavačovi;mužský životný
novín;ženský;novín;ženský
Zasmial;mužský neživotný;Zasmial;mužský životný
sa;;sa;
a;stredný;a;
na;;na;
druhý;mužský neživotný;druhý;mužský neživotný
deň;mužský neživotný;deň;mužský neživotný
mi;;mi;všeobecný
ich;ženský;ich;ženský
priniesol;mužský neživotný;priniesol;mužský životný
A;;A;
bol;ženský;bol;mužský životný
veľkorysý;mužský neživotný;veľkorysý;mužský životný
Predal;mužský neživotný;Predal;mužský životný
mi;;mi;všeobecný
ich;ženský;ich;ženský
za;;za;
cenu;ženský;cenu;ženský
aká;ženský;aká;ženský
bola;ženský;bola;ženský
uvedená;ženský;uvedená;ženský
na;;na;
novinách;ženský;novinách;ženský
Moja;ženský;Moja;ženský
epocha;ženský;epocha;ženský
bola;ženský;bola;ženský
uzavretá;ženský;uzavretá;ženský
Nikto;mužský životný;Nikto;mužský životný
z;stredný;z;
nich;mužský neživotný;nich;mužský životný
nič;stredný;nič;stredný
o;;o;
mojom;mužský neživotný;mojom;stredný
ruskom;mužský neživotný;ruskom;stredný
dobrodružstve;stredný;dobrodružstve;stredný
Jedného;mužský neživotný;Jedného;mužský neživotný
večera;ženský;večera;mužský neživotný
mi;;mi;všeobecný
zatelefonovali;ženský;zatelefonovali;stredný
deti;stredný;deti;stredný
moje;ženský;moje;stredný
ruské;ženský;ruské;stredný
dobrodružstvo;stredný;dobrodružstvo;stredný
Vôbec;;Vôbec;
som;;som;
im;mužský neživotný;im;mužský životný
postupoval;mužský neživotný;postupoval;mužský životný
som;;som;
podľa;;podľa;
inej;ženský;inej;ženský
taktiky;ženský;taktiky;ženský
Povedal;mužský neživotný;Povedal;mužský životný
som;;som;
im;mužský neživotný;im;mužský životný
že;;že;
to;stredný;to;stredný
za;;za;
zlý;mužský neživotný;zlý;mužský neživotný
nápad;mužský neživotný;nápad;mužský neživotný
Ale;;Ale;
najskôr;;najskôr;
musím;;musím;
uzavrieť;;uzavrieť;
niektoré;ženský;niektoré;ženský
záležitosti;ženský;záležitosti;ženský
tu;;tu;
v;;v;
Albánsku;stredný;Albánsku;stredný
Moje;ženský;Moje;ženský
záhady;ženský;záhady;ženský
sa;;sa;
vyriešili;ženský;vyriešili;ženský
Oznámili;ženský;Oznámili;ženský
mi;;mi;všeobecný
to;stredný;to;stredný
raz;mužský neživotný;raz;mužský neživotný
večer;mužský neživotný;večer;
aj;;aj;
moje;ženský;moje;ženský
postavy;ženský;postavy;ženský
v;;v;
slávnostných;ženský;slávnostných;mužský neživotný
čiernych;ženský;čiernych;mužský neživotný
dvojradových;ženský;dvojradových;mužský neživotný
oblekoch;mužský neživotný;oblekoch;mužský neživotný
Išiel;mužský neživotný;Išiel;mužský životný
som;;som;
za;;za;
ňou;ženský;ňou;ženský
akoby;;akoby;
som;;som;
kráčal;mužský neživotný;kráčal;mužský životný
v;;v;
ústrety;;ústrety;
budúcnosti;ženský;budúcnosti;ženský
Nevdojak;;Nevdojak;
som;;som;
sa;;sa;
poobzeral;mužský neživotný;poobzeral;mužský životný
či;;či;
Háda;;Háda;mužský životný
S;;S;
mojimi;mužský životný;mojimi;ženský
úbohými;ženský;úbohými;ženský
postavami;ženský;postavami;ženský
V;;V;
takýchto;ženský;takýchto;ženský
mrákotách;ženský;mrákotách;ženský
zaznel;mužský neživotný;zaznel;mužský neživotný
v;;v;
ktoromsi;mužský neživotný;ktoromsi;mužský neživotný
kúte;mužský neživotný;kúte;mužský neživotný
môjho;mužský neživotný;môjho;mužský neživotný
mozgu;mužský neživotný;mozgu;mužský neživotný
pohrebný;mužský neživotný;pohrebný;mužský neživotný
motív;mužský neživotný;motív;mužský neživotný
vzdialenej;ženský;vzdialenej;ženský
trúby;ženský;trúby;ženský
Telefón;mužský neživotný;Telefón;mužský neživotný
zazvonil;mužský neživotný;zazvonil;mužský neživotný
vo;;vo;
chvíli;ženský;chvíli;ženský
keď;;keď;
som;;som;
začal;mužský neživotný;začal;mužský životný
hľadať;;hľadať;
šach;mužský neživotný;šach;mužský neživotný
Možno;;Možno;
moje;ženský;moje;ženský
postavy;ženský;postavy;ženský
vedia;;vedia;
hrať;;hrať;
šach;mužský neživotný;šach;mužský neživotný
Stuhol;mužský neživotný;Stuhol;mužský životný
som;;som;
Okamžite;;Okamžite;
som;;som;
ju;ženský;ju;ženský
spoznal;mužský neživotný;spoznal;mužský životný
Hlas;mužský neživotný;Hlas;mužský neživotný
na;;na;
druhom;mužský neživotný;druhom;mužský neživotný
konci;mužský neživotný;konci;mužský neživotný
linky;ženský;linky;ženský
patril;mužský neživotný;patril;mužský neživotný
Klameš;;Klameš;
povedal;mužský neživotný;povedal;mužský životný
som;;som;
Mal;;Mal;mužský životný
som;;som;
príležitosť;ženský;príležitosť;ženský
poznať;;poznať;
dievčinu;ženský;dievčinu;ženský
ktorá;ženský;ktorá;ženský
sa;;sa;
volala;ženský;volala;ženský
ale;;ale;
ona;ženský;ona;ženský
sa;;sa;
stratila;ženský;stratila;ženský
A;;A;
nasledoval;mužský neživotný;nasledoval;mužský neživotný
Nechal;mužský neživotný;Nechal;mužský životný
som;;som;
ju;ženský;ju;ženský
vzlykať;;vzlykať;
Začal;mužský neživotný;Začal;mužský životný
som;;som;
chodiť;;chodiť;
po;;po;
izbe;ženský;izbe;ženský
s;stredný;s;
telefónom;mužský neživotný;telefónom;mužský neživotný
v;;v;
ruke;ženský;ruke;ženský
Podišiel;mužský neživotný;Podišiel;mužský životný
som;;som;
k;stredný;k;
oknu;stredný;oknu;stredný
že;;že;
sa;;sa;
spýtam;;spýtam;
svojich;mužský životný;svojich;ženský
postáv;ženský;postáv;ženský
čo;stredný;čo;stredný
si;;si;
o;;o;
tom;stredný;tom;stredný
myslia;;myslia;
Ale;;Ale;
ony;mužský neživotný;ony;ženský
medzitým;;medzitým;
zmizli;ženský;zmizli;ženský
pohltila;ženský;pohltila;ženský
ich;ženský;ich;ženský
temnota;ženský;temnota;ženský
Kde;;Kde;
si;;si;
spýtal;mužský neživotný;spýtal;mužský životný
som;;som;
sa;;sa;
po;;po;
dlhej;ženský;dlhej;ženský
odmlke;ženský;odmlke;ženský
Prišla;ženský;Prišla;ženský
tam;;tam;
pred;;pred;
niekoľkými;ženský;niekoľkými;ženský
hodinami;ženský;hodinami;ženský
a;stredný;a;
niekoľko;stredný;niekoľko;stredný
hodín;ženský;hodín;ženský
sa;;sa;
zdráhala;ženský;zdráhala;ženský
zatelefonovať;;zatelefonovať;
mi;;mi;všeobecný
Odpovedala;ženský;Odpovedala;ženský
že;;že;
je;;je;
v;;v;
poriadku;mužský neživotný;poriadku;mužský neživotný
Spýtal;mužský neživotný;Spýtal;mužský životný
som;;som;
sa;;sa;
na;;na;
Sergeja;mužský životný;Sergeja;mužský životný
ma;;ma;všeobecný
o;;o;
schôdzku;ženský;schôdzku;ženský
na;;na;
konci;mužský neživotný;konci;mužský neživotný
sveta;mužský neživotný;sveta;mužský neživotný
Naproti;;Naproti;
vile;ženský;vile;ženský
januára;mužský neživotný;januára;mužský neživotný
V;;V;
storočí;stredný;storočí;stredný
dochádza;;dochádza;
v;;v;
Bengálsku;ženský;Bengálsku;stredný
k;stredný;k;
úpadku;mužský neživotný;úpadku;mužský neživotný
feudalizmu;mužský neživotný;feudalizmu;mužský neživotný
Ekonomická;ženský;Ekonomická;ženský
i;stredný;i;
politická;ženský;politická;ženský
moc;ženský;moc;ženský
sa;;sa;
dostáva;;dostáva;
z;stredný;z;
rúk;ženský;rúk;ženský
starej;;starej;ženský
aristokracie;ženský;aristokracie;ženský
do;;do;
rúk;ženský;rúk;ženský
novej;ženský;novej;ženský
buržoázie;ženský;buržoázie;ženský
a;stredný;a;
literatúra;ženský;literatúra;ženský
sa;;sa;
usiluje;;usiluje;
vyhovieť;;vyhovieť;
potrebám;ženský;potrebám;ženský
novej;ženský;novej;ženský
vrstvy;ženský;vrstvy;ženský
Stráca;;Stráca;
svoj;mužský neživotný;svoj;mužský neživotný
vidiecky;mužský neživotný;vidiecky;mužský neživotný
a;stredný;a;
náboženský;mužský neživotný;náboženský;mužský neživotný
charakter;mužský neživotný;charakter;mužský neživotný
a;stredný;a;
stáva;;stáva;
sa;;sa;
mestskou;ženský;mestskou;ženský
a;stredný;a;
svetskou;ženský;svetskou;ženský
Do;;Do;
literatúry;ženský;literatúry;ženský
vstúpil;mužský neživotný;vstúpil;mužský životný
r;stredný;r;
románom;mužský neživotný;románom;mužský neživotný
Poéma;ženský;Poéma;ženský
dňa;mužský neživotný;dňa;mužský neživotný
i;stredný;i;
noci;ženský;noci;ženský
Zaujal;mužský neživotný;Zaujal;mužský životný
